uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n
epistemic,6,330.0,330.0,0.0,330.0,330.0,5,0.006299131954152432,0.006299131954152432,0.00039313939583868147,0.005811063177250374,0.00678720073105449,5,0.0046053980264097235,0.0046053980264097235,0.00012455360147619612,0.004450769096888303,0.004760026955931144,5,3.9802710243472545e-05,3.9802710243472545e-05,5.017984750421022e-06,3.357305810081086e-05,4.603236238613423e-05,5,2.1222101861371122e-05,2.1222101861371122e-05,1.1522549443463012e-06,1.9791617744746975e-05,2.265258597799527e-05,5,0.8829443351746372,0.8829443351746372,0.2854644723625738,0.5285502008046417,1.2373384695446328,5,1.8891059153247624e-05,1.8891059153247624e-05,9.84139310945235e-07,1.7669284701543045e-05,2.0112833604952203e-05,5,2.3614242672920226e-05,2.3614242672920226e-05,1.3115291090917405e-06,2.1986025264740372e-05,2.524246008110008e-05,5
epistemic,7,330.0,330.0,0.0,330.0,330.0,5,0.007472347836132825,0.007472347836132825,0.00044948887323878527,0.006914323158588788,0.008030372513676862,5,0.005129678868778989,0.005129678868778989,0.0001336676842577874,0.004963735125013868,0.005295622612544111,5,5.599761438189131e-05,5.599761438189131e-05,6.625624554157031e-06,4.7772133784961804e-05,6.422309497882081e-05,5,2.6327898936649555e-05,2.6327898936649555e-05,1.3717866724340712e-06,2.462487387614361e-05,2.80309239971555e-05,5,1.1227516540387723,1.1227516540387723,0.17236567408263145,0.9087657126147577,1.336737595462787,5,2.363053172302898e-05,2.363053172302898e-05,1.3099657778717938e-06,2.200425513575003e-05,2.525680831030793e-05,5,2.9452145099639893e-05,2.9452145099639893e-05,1.5203878971383399e-06,2.7564636828457907e-05,3.133965337082188e-05,5
epistemic,8,330.0,330.0,0.0,330.0,330.0,5,0.00822857514623923,0.00822857514623923,0.0006280040486578242,0.007448930136956731,0.009008220155521727,5,0.00572976688388794,0.00572976688388794,0.00013875793105792118,0.0055575037771788665,0.005902029990597014,5,6.802496020541046e-05,6.802496020541046e-05,1.0765355043819326e-05,5.466014933992985e-05,8.138977107089107e-05,5,3.284563155444409e-05,3.284563155444409e-05,1.5861233595354035e-06,3.087651501130864e-05,3.4814748097579546e-05,5,1.0745367769832022,1.0745367769832022,0.33102940041556034,0.6635753818913207,1.4854981720750837,5,2.945862688648049e-05,2.945862688648049e-05,1.5185280753050331e-06,2.7573427518901257e-05,3.134382625405972e-05,5,3.652769955806434e-05,3.652769955806434e-05,1.6946684861292253e-06,3.442382804573454e-05,3.863157107039414e-05,5
epistemic,9,330.0,330.0,0.0,330.0,330.0,5,0.00940835747072158,0.00940835747072158,0.00039367886202491614,0.0089196189654624,0.009897095975980761,5,0.006430912047704439,0.006430912047704439,0.00012634599016363225,0.006274057930466728,0.0065877661649421495,5,8.864117673400676e-05,8.864117673400676e-05,7.468420250425691e-06,7.93693948276431e-05,9.791295864037042e-05,5,4.1369400412694446e-05,4.1369400412694446e-05,1.622827418506633e-06,3.935471706714985e-05,4.338408375823904e-05,5,1.1472136931540613,1.1472136931540613,0.22010062429321225,0.8739664845780802,1.4204609017300425,5,3.654597312561236e-05,3.654597312561236e-05,1.6960962851334326e-06,3.4440329050875884e-05,3.865161720034884e-05,5,4.658602192648686e-05,4.658602192648686e-05,1.5962786533066594e-06,4.460429794216774e-05,4.8567745910805986e-05,5
epistemic,10,330.0,330.0,0.0,330.0,330.0,5,0.010363356724076348,0.010363356724076348,0.0005720237589107535,0.0096532092819079,0.011073504166244797,5,0.00724932166433718,0.00724932166433718,0.00010840020125902714,0.00711474661486506,0.007383896713809301,5,0.00010766093153506519,0.00010766093153506519,1.1824210977434996e-05,9.298158815031667e-05,0.00012234027491981372,5,5.2562065075934776e-05,5.2562065075934776e-05,1.569956359034095e-06,5.0613019297124565e-05,5.451111085474499e-05,5,1.046984763249061,1.046984763249061,0.19871521996076838,0.8002867844032255,1.2936827420948964,5,4.661679267883301e-05,4.661679267883301e-05,1.598359593258946e-06,4.463248528051857e-05,4.860110007714745e-05,5,5.917936650803313e-05,5.917936650803313e-05,1.6017033267533162e-06,5.719090798181302e-05,6.116782503425323e-05,5
epistemic,11,330.0,330.0,0.0,330.0,330.0,5,0.010726016171453943,0.010726016171453943,0.0007858188640453657,0.0097504496016804,0.011701582741227486,5,0.00823138939066744,0.00823138939066744,0.0001203379795958631,0.00808199400791542,0.00838078477341946,5,0.00011554143193996314,0.00011554143193996314,1.6268528644105044e-05,9.534462398489736e-05,0.0001357382398950289,5,6.776735628425906e-05,6.776735628425906e-05,1.973789548584389e-06,6.531696575856639e-05,7.021774680995172e-05,5,0.7018413260611815,0.7018413260611815,0.21033955378979122,0.44071214430288,0.962970507819483,5,5.9217772650299595e-05,5.9217772650299595e-05,1.5891230769000932e-06,5.7244932063222647e-05,6.119061323737654e-05,5,7.743500027572736e-05,7.743500027572736e-05,2.1032095395541476e-06,7.482393936856724e-05,8.004606118288749e-05,5
epistemic,12,330.0,330.0,0.0,330.0,330.0,5,0.01258986446786362,0.01258986446786362,0.0008971955161176791,0.011476027689284329,0.013703701246442912,5,0.009548818134135467,0.009548818134135467,0.00016381533789471022,0.009345447135323443,0.009752189132947491,5,0.00015914865515448832,0.00015914865515448832,2.2680332146783194e-05,0.00013099181794157488,0.00018730549236740176,5,9.120139613073799e-05,9.120139613073799e-05,3.1277802096771923e-06,8.731836665693269e-05,9.50844256045433e-05,5,0.7462710874335944,0.7462710874335944,0.25451913477098564,0.4302945047743033,1.0622476700928853,5,7.752477249596268e-05,7.752477249596268e-05,2.1416710314417508e-06,7.486596299504138e-05,8.018358199688397e-05,5,0.00010702333529479801,0.00010702333529479801,5.295790825873022e-06,0.0001004487966490359,0.00011359787394056013,5
epistemic,13,330.0,330.0,0.0,330.0,330.0,5,0.014522044974149103,0.014522044974149103,0.0005567269201140722,0.013830888021056514,0.015213201927241692,5,0.011570136854980786,0.011570136854980786,0.0002945250570330193,0.011204494322396492,0.01193577938756508,5,0.00021113774612207306,0.00021113774612207306,1.6535255032517518e-05,0.00019060980670692487,0.00023166568553722124,5,0.00013393746285036092,0.00013393746285036092,6.8235949696163105e-06,0.00012546620892326215,0.0001424087167774597,5,0.5803567196411048,0.5803567196411048,0.15797610698328182,0.3842349212886522,0.7764785179935574,5,0.00010713107913034037,0.00010713107913034037,5.245385098436638e-06,0.00010061911742802156,0.00011364304083265918,5,0.00017287668015342206,0.00017287668015342206,9.269250781802036e-06,0.000161369230277478,0.00018438413002936613,5
epistemic,14,330.0,330.0,0.0,330.0,330.0,5,0.029046008324589333,0.029046008324589333,0.003871849519704795,0.024239242888630434,0.03385277376054823,5,0.02020924187304291,0.02020924187304291,0.0011753104803506234,0.018750135116770948,0.021668348629314875,5,0.0008556635745547034,0.0008556635745547034,0.00021664600996878098,0.0005867051485475528,0.001124622000561854,5,0.0004095185408633286,0.0004095185408633286,4.772027789554365e-05,0.0003502754888760857,0.0004687615928505715,5,1.0655532354589408,1.0655532354589408,0.34226821195627294,0.6406392498595459,1.4904672210583356,5,0.000173174447263591,0.000173174447263591,9.315069505104988e-06,0.00016161011504902,0.000184738779478162,5,0.0052466453984379765,0.0052466453984379765,0.0015624081616204717,0.0033069704420853416,0.007186320354790611,5
total,0,330.0,330.0,0.0,330.0,330.0,5,0.002522946295296888,0.002522946295296888,0.00018948662551095713,0.002287705292916196,0.0027581872976775797,5,0.004152586740343292,0.004152586740343292,0.00010687300444039548,0.004019907652179674,0.00428526582850691,5,6.393982153950314e-06,6.393982153950314e-06,9.41327354032755e-07,5.225357245812801e-06,7.562607062087828e-06,5,1.725311410733742e-05,1.725311410733742e-05,8.905284934369404e-07,1.6147554203677836e-05,1.8358674010997e-05,5,0.6283257947115365,0.6283257947115365,0.06211638919932886,0.5512104752523573,0.7054411141707156,5,1.139346986747114e-05,1.139346986747114e-05,8.935267935419736e-07,1.0284187679348237e-05,1.2502752055594042e-05,5,2.114803246513475e-05,2.114803246513475e-05,1.0892469716045858e-06,1.9795770537679722e-05,2.2500294392589775e-05,5
