epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
150,-3.483495557365418,-3.483495557365418,0.05584003203321569,-3.5528189994449964,-3.4141721152858393,5,-2.7191711808323857,-2.7191711808323857,0.03297364515316813,-2.760106805270576,-2.6782355563941955,5,0.016852125928167774,0.016852125928167774,0.0019237724620170447,0.014463829861904816,0.019240421994430733,5,0.02579677654093724,0.02579677654093724,0.004999895596125157,0.019589581449148158,0.03200397163272632,5
155,-3.399021917934417,-3.399021917934417,0.1701029312068972,-3.6101987434074663,-3.187845092461368,5,-2.695000988614559,-2.695000988614559,0.0417791474368893,-2.7468683354268344,-2.6431336418022835,5,0.01655613087890004,0.01655613087890004,0.0022009246554823524,0.013823760081098752,0.019288501676701326,5,0.025874352745446104,0.025874352745446104,0.005000004659280346,0.01966702225557349,0.03208168323531872,5
160,-3.508101156830788,-3.508101156830788,0.03184401506343137,-3.547634385116149,-3.4685679285454265,5,-2.7058289143323897,-2.7058289143323897,0.038096977232289615,-2.7531249759284626,-2.658532852736317,5,0.01592477127125681,0.01592477127125681,0.0018742745425605906,0.013597925136656822,0.018251617405856797,5,0.025133092723444456,0.025133092723444456,0.004184089745830962,0.019938691993546323,0.03032749345334259,5
165,-3.5546846815133093,-3.5546846815133093,0.06906042607631091,-3.640420779305022,-3.4689485837215965,5,-2.7145454972505574,-2.7145454972505574,0.04620127070447759,-2.771902755064801,-2.6571882394363135,5,0.016081898948831774,0.016081898948831774,0.0015447560220913593,0.014164138504840077,0.017999659392823473,5,0.026170341716366053,0.026170341716366053,0.0056768089569897515,0.01912278241889607,0.03321790101383604,5
170,-3.5893729863333705,-3.5893729863333705,0.07615682739928377,-3.6839190175755854,-3.4948269550911557,5,-2.704866290783882,-2.704866290783882,0.04046008707656894,-2.7550960704036145,-2.6546365111641492,5,0.015930258370042992,0.015930258370042992,0.0018575405102913849,0.01362418694982859,0.018236329790257393,5,0.026135896560530468,0.026135896560530468,0.005861857297278045,0.018858606236182365,0.03341318688487857,5
175,-3.5888552148413657,-3.5888552148413657,0.03460328169022013,-3.6318139759070545,-3.545896453775677,5,-2.715212794613838,-2.715212794613838,0.03312433295531781,-2.7563354926754497,-2.6740900965522263,5,0.01677488072655194,0.01677488072655194,0.0030901585083827846,0.012938557275928481,0.020611204177175397,5,0.025336006342187484,0.025336006342187484,0.004745736784467245,0.01944434050454534,0.03122767217982963,5
180,-3.627878302752972,-3.627878302752972,0.02282798730667296,-3.6562184486702622,-3.5995381568356817,5,-2.710864819955826,-2.710864819955826,0.04754952332658691,-2.769895886132175,-2.6518337537794765,5,0.016098576140833185,0.016098576140833185,0.002602359411244901,0.01286783816761049,0.019329314114055883,5,0.025238468741271048,0.025238468741271048,0.0047764801597973494,0.01930863608098526,0.031168301401556835,5
185,-3.6196933733701706,-3.6196933733701706,0.0738464239235412,-3.7113711196974375,-3.5280156270429037,5,-2.6940769312262534,-2.6940769312262534,0.05134036841633847,-2.7578141986787,-2.630339663773807,5,0.01622939433389802,0.01622939433389802,0.0022503875928871226,0.0134356170334245,0.019023171634371543,5,0.02494966593960573,0.02494966593960573,0.004316835896790681,0.01959046551722409,0.030308866361987367,5
190,-3.679635168995857,-3.679635168995857,0.06442374495972995,-3.7596149897382376,-3.5996553482534766,5,-2.69738646209836,-2.69738646209836,0.05598693274859661,-2.7668922762659074,-2.6278806479308123,5,0.05054428416697625,0.05054428416697625,0.07665798507403816,-0.044623916758413526,0.145712485092366,5,0.025086721973151677,0.025086721973151677,0.004600127230175603,0.01937582529225295,0.030797618654050403,5
195,-3.6904144181537624,-3.6904144181537624,0.05608203190571525,-3.7600382945908017,-3.620790541716723,5,-2.7093913714170457,-2.7093913714170457,0.0275176535917665,-2.7435535736127754,-2.675229169221316,5,0.015885800353592373,0.015885800353592373,0.0018080628765940168,0.013641153680982232,0.018130447026202513,5,0.025310770413794613,0.025310770413794613,0.004904247424156711,0.019222319174185414,0.03139922165340381,5
